Folder,x_coordinates,Gamma_pv,Density,Temperature,Pressure,Mach,Speed,c,dens0,norm_density,norm_temperature,norm_pressure,norm_dens_grad,norm_p_grad,norm_T_grad,beta,alfa,mean_gamma_pv
BOS_12_11_2,0.053104041521042075,0.9319479228580863,15.922272876906499,466.9699273869403,342931.1667519746,1.5657378844963405,221.82772715321514,141.6761575163468,75.20055456459959,0.216151945194589,0.9480979401043346,0.28819824535911165,-21.21214559232611,-26.32527447416862,-2.859186621935734,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05325495206412825,0.9332661107046731,15.693383031460908,466.76098824336736,338331.36399059877,1.5730892701745127,223.13564835103168,141.84550907672127,75.20055456459959,0.21304466360791857,0.9476737269805106,0.28433258596926303,-20.59022201580714,-25.615568738899462,-2.8110237704314347,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05340586260721443,0.9345471096622453,15.471084925511898,466.5554937037737,333853.51080164406,1.58031284994312,224.41984577120522,142.00975824456702,75.20055456459959,0.21002686782050667,0.947256507501771,0.2805694126063537,-19.99724953404083,-24.936450999055577,-2.7646807851012296,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05355677315030059,0.9357925930556654,15.255078088702746,466.35331687422325,329492.4583947463,1.587413546724092,225.68121208711966,142.16913579505018,75.20055456459959,0.20709447881344803,0.9468460240329399,0.2769043982435848,-19.43130643552423,-24.286006052448478,-2.7200450043890227,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05370768369338677,0.9370041268132236,15.045081532087426,466.15433850767175,325243.3727121231,1.594395974967535,226.9205859514581,142.32385775815737,75.20055456459959,0.20424368203666363,0.9464420344644714,0.27333348035440325,-18.890640232846213,-23.66248120346628,-2.6770135486012556,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05385859423647295,0.9382231338326453,14.833912589720143,465.9517684920246,320961.2456169387,1.6014985136994977,228.180248701624,142.47921353015963,75.20055456459959,0.2013769696011812,0.9460307527024173,0.26973479456878197,-18.99610442621886,-23.846483565871623,-2.725334848336109,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05400950477955911,0.9394784399162589,14.616585811979379,465.74061946513,316544.49492674874,1.6088956143083157,229.4910161928263,142.63884751248287,75.20055456459959,0.198426661808148,0.9456020528103836,0.2660229715485605,-19.55004423613195,-24.596180918268782,-2.8407550809024054,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05416041532264529,0.9406981390707367,14.405551545474843,465.5329148555451,312246.1639421916,1.6161659591857505,230.77816084382573,142.79360330055172,75.20055456459959,0.19556177765747948,0.9451803461844354,0.26241066806662583,-18.983989402466914,-23.9367204441897,-2.794414606986414,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.054311325865731466,0.9418838184503708,14.200525766907248,465.3285315309885,308061.2885496491,1.6233142664222324,232.0425476582955,142.94370009432296,75.20055456459959,0.1927784614063997,0.944765382826756,0.25889371229792035,-18.443484425673148,-23.30490432797082,-2.7497307291666124,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05446223640881763,0.9430369656430968,14.001242447323598,465.12735348801414,303985.2006896954,1.6303449703919812,233.2849913172029,143.089343392837,75.20055456459959,0.1900731015933973,0.9443569272133387,0.2554681812203737,-17.92691059005563,-22.69908389098333,-2.7066075375796568,9.107132999353238,12.561532827581704,0.8316923258036716
